budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
25000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",http://www.warnerbros.com/goodfellas,769,"[{""id"": 378, ""name"": ""prison""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1196, ""name"": ""florida""}, {""id"": 1228, ""name"": ""1970s""}, {""id"": 1583, ""name"": ""mass murder""}, {""id"": 1857, ""name"": ""irish-american""}, {""id"": 2149, ""name"": ""drug traffic""}, {""id"": 5565, ""name"": ""biography""}, {""id"": 9672, ""name"": ""based on true story""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 10291, ""name"": ""organized crime""}, {""id"": 10292, ""name"": ""gore""}, {""id"": 10391, ""name"": ""mafia""}, {""id"": 13142, ""name"": ""gangster""}, {""id"": 14512, ""name"": ""new york city""}, {""id"": 14687, ""name"": ""extreme violence""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 41523, ""name"": ""brooklyn new york city""}, {""id"": 214983, ""name"": ""crime epic""}, {""id"": 214985, ""name"": ""tampa""}]",en,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",63.65424399999999,"[{""name"": ""Winkler Films"", ""id"": 8880}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12-09-90,46836394,145.0,"[{""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Three Decades of Life in the Mafia.,GoodFellas,8.2,3128
10200000,"[{""id"": 27, ""name"": ""Horror""}]",,1691,"[{""id"": 3530, ""name"": ""prague""}, {""id"": 3540, ""name"": ""bratislava""}, {""id"": 5502, ""name"": ""castration""}, {""id"": 6779, ""name"": ""ladies' man""}, {""id"": 12105, ""name"": ""student""}, {""id"": 13006, ""name"": ""torture""}, {""id"": 155678, ""name"": ""penis""}, {""id"": 193698, ""name"": ""torture porn""}]",en,Hostel: Part II,"Following a geographical tour of Slovakia, three young American women are lured into a hostel by a handsome young man who sells them to the twisted masters, ties them up and brings upon an unthinkable world of pain.",20.745051999999998,"[{""name"": ""Lions Gate Films"", ""id"": 35}, {""name"": ""Next Entertainment"", ""id"": 1633}, {""name"": ""Screen Gems"", ""id"": 3287}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",08-06-07,35619521,93.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""pl"", ""name"": ""Polski""}]",Released,Americans...they have no imagination.,Hostel: Part II,5.6,453
100000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",http://www.cloudywithachanceofmeatballs.com/,22794,"[{""id"": 3694, ""name"": ""weather""}, {""id"": 10637, ""name"": ""food""}, {""id"": 156810, ""name"": ""science""}]",en,Cloudy with a Chance of Meatballs,"Inventor Flint Lockwood creates a machine that makes clouds rain food, enabling the down-and-out citizens of Chewandswallow to feed themselves. But when the falling food reaches gargantuan proportions, Flint must scramble to avert disaster. Can he regain control of the machine and put an end to the wild weather before the town is destroyed?",46.781182,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Sony Pictures Animation"", ""id"": 2251}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",17-09-09,242988466,90.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Prepare to get served.,Cloudy with a Chance of Meatballs,6.5,1747
32000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10749, ""name"": ""Romance""}]",,11637,"[{""id"": 1926, ""name"": ""car journey""}, {""id"": 2554, ""name"": ""macho""}, {""id"": 7312, ""name"": ""road trip""}, {""id"": 10103, ""name"": ""children""}, {""id"": 156322, ""name"": ""pretty woman""}, {""id"": 199093, ""name"": ""trouble""}]",en,Are We There Yet?,"The fledgling romance between Nick, a playboy bachelor, and Suzanne, a divorced mother of two, is threatened by a particularly harrowing New Years Eve. When Suzanne's work keeps her in Vancouver for the holiday, Nick offers to bring her kids to the city from Portland, Oregon. The kids, who have never liked any of the men their mom dates, are determined to turn the trip into a nightmare for Nick.",13.590677,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Revolution Studios"", ""id"": 497}, {""name"": ""Cube Vision"", ""id"": 2780}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",20-01-05,97918663,95.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,24 hours. 350 miles. His girlfriend's kids. What could possibly go wrong?,Are We There Yet?,5.2,221
55000000,"[{""id"": 35, ""name"": ""Comedy""}]",,11353,"[{""id"": 887, ""name"": ""film producer""}, {""id"": 2793, ""name"": ""film director""}, {""id"": 10732, ""name"": ""movie studio""}, {""id"": 12396, ""name"": ""hollywood""}, {""id"": 33490, ""name"": ""filmmaking""}, {""id"": 185482, ""name"": ""movie actress""}]",en,Bowfinger,"On the verge of bankruptcy and desperate for his big break, aspiring filmmaker Bobby Bowfinger concocts a crazy plan to make his ultimate dream movie. Rallying a ragtag team that includes a starry-eyed ingenue, a has-been diva and a film studio gofer, he sets out to shoot a blockbuster featuring the biggest star in Hollywood, Kit Ramsey -- only without letting Ramsey know he's in the picture.",13.191829,"[{""name"": ""Universal Pictures"", ""id"": 33}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12-08-99,0,97.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The con is on.,Bowfinger,6.0,254
70000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10752, ""name"": ""War""}]",,49017,"[{""id"": 3133, ""name"": ""vampire""}, {""id"": 3633, ""name"": ""dracula""}, {""id"": 4197, ""name"": ""bite""}, {""id"": 14643, ""name"": ""battle""}, {""id"": 213097, ""name"": ""15th century""}, {""id"": 214410, ""name"": ""ottoman empire""}, {""id"": 225470, ""name"": ""vlad""}, {""id"": 231407, ""name"": ""fang vamp""}, {""id"": 232534, ""name"": ""tepes""}]",en,Dracula Untold,"Vlad Tepes is a great hero, but when he learns the Sultan is preparing for battle and needs to form an army of 1,000 boys, including Vlad's son, he vows to find a way to protect his family. Vlad turns to dark forces in order to get the power to destroy his enemies and agrees to go from hero to monster as he's turned into the mythological vampire Dracula.",64.45794699999999,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Fuji Television Network"", ""id"": 3341}, {""name"": ""Dentsu"", ""id"": 6452}, {""name"": ""Michael De Luca Productions"", ""id"": 27551}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",01-10-14,215529201,92.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Every bloodline has a beginning,Dracula Untold,6.2,2389
100000,"[{""id"": 35, ""name"": ""Comedy""}]",,70478,"[{""id"": 293, ""name"": ""female nudity""}, {""id"": 10768, ""name"": ""lesbian""}, {""id"": 190370, ""name"": ""erotic movie""}]",en,The Stewardesses,"The Stewardesses is a 1969 Softcore 3-D film. Produced on a budget of just over $100,000, the film grossed over $27,000,000 (USD) in 1970 dollars, becoming the most profitable 3-D film ever released. This has now been passed by James Camerons Avatar.",1.183892,[],[],25-07-69,27000000,69.0,[],Released,The Unpublishable Novel Is Now America's Most Controversial Film!,The Stewardesses,4.3,5
400000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",,9659,"[{""id"": 473, ""name"": ""chain""}, {""id"": 1009, ""name"": ""baby""}, {""id"": 3450, ""name"": ""bridge""}, {""id"": 4458, ""name"": ""post-apocalyptic""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 5144, ""name"": ""matter of life and death""}, {""id"": 6239, ""name"": ""benzine""}, {""id"": 6951, ""name"": ""biker""}, {""id"": 9104, ""name"": ""partner""}, {""id"": 9276, ""name"": ""truck""}, {""id"": 14735, ""name"": ""motorcycle""}, {""id"": 14736, ""name"": ""motorcycle gang""}, {""id"": 18114, ""name"": ""exploding car""}, {""id"": 205624, ""name"": ""ozploitation""}]",en,Mad Max,"In a dystopian future Australia, a vicious biker gang murders a cop's family, and makes his fight with them personal.",33.142185,"[{""name"": ""Kennedy Miller Productions"", ""id"": 2537}, {""name"": ""Mad Max Films"", ""id"": 8831}, {""name"": ""Crossroads"", ""id"": 11962}]","[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}]",12-04-79,100000000,93.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Maximum Force Of The Future,Mad Max,6.6,1213
15000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",http://killingthemsoftlymovie.com/,64689,"[{""id"": 383, ""name"": ""poker""}, {""id"": 395, ""name"": ""gambling""}, {""id"": 642, ""name"": ""robbery""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 2708, ""name"": ""hitman""}, {""id"": 3681, ""name"": ""economy""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 11221, ""name"": ""blood""}, {""id"": 11503, ""name"": ""hit""}, {""id"": 11578, ""name"": ""mobster""}, {""id"": 13142, ""name"": ""gangster""}, {""id"": 15009, ""name"": ""criminal""}]",en,Killing Them Softly,"Jackie Cogan is an enforcer hired to restore order after three dumb guys rob a Mob protected card game, causing the local criminal economy to collapse.",24.612603,"[{""name"": ""Plan B Entertainment"", ""id"": 81}, {""name"": ""1984 Private Defense Contractors"", ""id"": 8532}, {""name"": ""Annapurna Pictures"", ""id"": 13184}, {""name"": ""Inferno Entertainment"", ""id"": 13648}, {""name"": ""Chockstone Pictures"", ""id"": 13649}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",20-09-12,37930465,97.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,In America you're on your own.,Killing Them Softly,5.8,742
25000000,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 36, ""name"": ""History""}]",,38543,"[{""id"": 502, ""name"": ""ambush""}, {""id"": 1701, ""name"": ""hero""}, {""id"": 1721, ""name"": ""fight""}, {""id"": 3098, ""name"": ""castle""}, {""id"": 10141, ""name"": ""battlefield""}, {""id"": 12965, ""name"": ""duel""}, {""id"": 13084, ""name"": ""king""}, {""id"": 14656, ""name"": ""order of the templars""}]",en,Ironclad,"In the year 1215, the rebel barons of England have forced their despised King John to put his royal seal on the Magna Carta, a seminal document that upheld the rights of free men. Yet within months of pledging himself to the great charter, the King reneged on his word and assembled a mercenary army on the south coast of England with the intention of bringing the barons and the country back under his tyrannical rule. Barring his way stood the mighty Rochester castle, a place that would become the symbol of the rebel's momentous struggle for justice and freedom.",12.31708,"[{""name"": ""Rising Star"", ""id"": 1208}, {""name"": ""Premiere Picture"", ""id"": 3870}, {""name"": ""Mythic International Entertainment"", ""id"": 5706}, {""name"": ""Film & Entertainment VIP Medienfonds 4 GmbH & Co. KG (I)"", ""id"": 7416}, {""name"": ""Wales Creative IP Fund"", ""id"": 11841}, {""name"": ""Silver Reel"", ""id"": 12075}, {""name"": ""Perpetual Media Capital"", ""id"": 13792}, {""name"": ""Molinare Investment"", ""id"": 19579}, {""name"": ""VIP 4 Medienfonds"", ""id"": 23238}, {""name"": ""ContentFilm International"", ""id"": 25487}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",03-03-11,0,121.0,"[{""iso_639_1"": ""da"", ""name"": ""Dansk""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""hu"", ""name"": ""Magyar""}, {""iso_639_1"": ""la"", ""name"": ""Latin""}]",Released,Heavy metal goes medieval.,Ironclad,6.2,227
105000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 16, ""name"": ""Animation""}]",http://smurfhappens.com,77931,"[{""id"": 10244, ""name"": ""based on cartoon""}, {""id"": 10336, ""name"": ""animation""}, {""id"": 15072, ""name"": ""smurf""}]",en,The Smurfs 2,"The evil wizard Gargamel creates a couple of mischievous Smurf-like creatures called the Naughties that he hopes will let him harness the all-powerful, magical Smurf-essence. But when he discovers that only a real Smurf can give him what he wants, and only a secret spell that Smurfette knows can turn the Naughties into real Smurfs, Gargamel kidnaps Smurfette and brings her to Paris, where he has been winning the adoration of millions as the world¹s greatest sorcerer. It's up to Papa, Clumsy, Grouchy, and Vanity to return to our world, reunite with their human friends Patrick and Grace Winslow, and rescue her! Will Smurfette, who has always felt different from the other Smurfs, find a new connection with the Naughties Vexy and Hackus or will the Smurfs convince her that their love for her is True Blue?",32.473628000000005,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Sony Pictures Animation"", ""id"": 2251}, {""name"": ""Kerner Entertainment Company"", ""id"": 7311}, {""name"": ""Hemisphere Media Capital"", ""id"": 9169}, {""name"": ""NeoReel"", ""id"": 24097}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",30-07-13,347434178,105.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Get ready to get naughty!,The Smurfs 2,5.5,695
0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",,10115,"[{""id"": 650, ""name"": ""gymnastics""}, {""id"": 1482, ""name"": ""trainer""}, {""id"": 1525, ""name"": ""puberty""}, {""id"": 4613, ""name"": ""training""}, {""id"": 6075, ""name"": ""sport""}, {""id"": 13130, ""name"": ""teenager""}, {""id"": 187056, ""name"": ""woman director""}]",en,Stick It,"Haley is a naturally gifted athlete but, with her social behavior, the teen seems intent on squandering her abilities. After a final brush with the law, a judge sentences her to an elite gymnastics academy run by a legendary, hard-nosed coach. Once there, Haley's rebellious attitude wins her both friends and enemies.",9.750557,"[{""name"": ""Spyglass Entertainment"", ""id"": 158}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Kaltenbach Pictures"", ""id"": 62367}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",21-04-06,0,105.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The world of competitive gymnastics is about to be turned on its head.,Stick It,6.3,148
50000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",,216282,"[{""id"": 2213, ""name"": ""tornado""}, {""id"": 12105, ""name"": ""student""}, {""id"": 163053, ""name"": ""found footage""}, {""id"": 199076, ""name"": ""disaster movie""}]",en,Into the Storm,"The town of Silverton is in one day destroyed by the unprecedented power of a series of tornadoes. The population is at the mercy of the unpredictable and deadly cyclones, while hunters warn that the worst is yet to come. Most people find shelter, but some just go to the tornado for that one, unique shot.",20.566554,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Broken Road Productions"", ""id"": 8000}, {""name"": ""RatPac-Dune Entertainment"", ""id"": 41624}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",06-08-14,160602194,89.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Prepare to go,Into the Storm,5.8,817
25000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 35, ""name"": ""Comedy""}]",,11932,"[{""id"": 4944, ""name"": ""route 66""}, {""id"": 6300, ""name"": ""puppet""}, {""id"": 9707, ""name"": ""evil doll""}, {""id"": 10603, ""name"": ""killer doll""}, {""id"": 180691, ""name"": ""killer toys""}, {""id"": 187065, ""name"": ""toy comes to life""}, {""id"": 190349, ""name"": ""chucky""}]",en,Bride of Chucky,"Chucky hooks up with another murderous doll, the bridal gown-clad Tiffany, for a Route 66 murder spree with their unwitting hosts.",14.340095000000002,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Midwinter Productions Inc."", ""id"": 5550}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",16-10-98,50671850,89.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Chucky Gets Lucky.,Bride of Chucky,5.5,350
